Sentence,label,label_id
የኢንቨስትመንት ኮሚሽን,Literal ,1
ሰረገላ ቁልፍ,Idiom,0
ምን እዳዬ,Idiom,0
ሀሳብና መንገድ ማለቂያ የለውም,Proverb,2
መጥፎ እሴቶች,Literal ,1
ማጭድ እግር,Idiom,0
ልጓም ጣሰ,Idiom,0
ትዳሩ ሞቀ,Idiom,0
የምታምር አንዲር,Literal ,1
ራሱን አዞረው,Idiom,0
የአጋርነት ስምምነት,Literal ,1
ዝም ብለን ቆይተን,Literal ,1
የመኪናዉን ሞተር,Literal ,1
ያለበት አይደለም,Literal ,1
የሞኝ ምስጋና የግንቦት ደመና,Proverb,2
ሹም ያዛል ቄስ ይናዝዛል,Proverb,2
ቅፍፍፍ የሚል ስሜት ዋጠኝ,Literal ,1
የኮራ ዳሌ,Idiom,0
ላህያ ፈስ ኣፍንጫ ኣይዙለትም,Proverb,2
ቆቡን ቀደደ,Idiom,0
የብረት ልጥ,Idiom,0
አንገቱን ደፋ,Idiom,0
በሩቅ ባሕር ውስጥ,Literal ,1
መንግጎ ወሰደ,Idiom,0
እጅህ ከምን,Idiom,0
ሚስጥራዊ ሰነዶች,Literal ,1
ልበ ባህር,Idiom,0
ሰው ያወቀው ጸሀይ የሞቀው,Idiom,0
በጥፊ ወለወለው,Idiom,0
አቅምህን ሳታባክን,Literal ,1
መልካም ስም ከመልካም ሽቶ ይበልጣል,Proverb,2
ለመወጣት ባለው ቁርጠኝነት,Literal ,1
አዲስ ተስፋ,Literal ,1
የኦርቶዶክስ አማኝ ነን,Literal ,1
የባሰ አለና አገርህን አትልቀቅ,Proverb,2
ሆን ብሎ,Idiom,0
ወግ አጥባቂ,Idiom,0
ከፍተኛ ባለስልጣናት,Literal ,1
አንድ ኡስታዝ ነኝ,Literal ,1
እሳት የላሰው,Idiom,0
ጾታዊ ጥቃት,Literal ,1
ውሀን መመለስ ወደ ሌላ ማፍሰስ,Proverb,2
ነገረኛ ታሞ አይተኛ,Proverb,2
ክፍል ስምንት,Literal ,1
ሁለት አፎች ባይናከሱ ይናቀሱ,Proverb,2
ለአፋ ለከት የለውም,Proverb,2
የደምበኛ ልጅ,Idiom,0
አፍራ ያለው ማሽላ ተኝቶ ያፈራል,Proverb,2
ጨረቃ ሲጠፋ ኮከብ አባወራ ይሆናል,Proverb,2
ረሳ,Idiom,0
ከእለታት መሀል,Literal ,1
ቀላዋጭ ወጥ ያውቃል,Proverb,2
መኝታ ቤት,Literal ,1
አቅማችን እንዲጨምር,Literal ,1
ለቅሶውን አልሰሙም ነበር,Literal ,1
እግረ እርጥብ,Idiom,0
ግፍ ሰራ,Idiom,0
አእምሮ ገዛ,Idiom,0
ሰው መዘርጠጥ ይወዳል,Idiom,0
ምን ቢፋቀሩ አብረው አይቀበሩ,Proverb,2
አሳቡን ሚያከብሩለት,Literal ,1
በቅሎ ግዙ ግዙ አሞሌ ላያግዙ,Proverb,2
ምድር ደህና ዋይ አለ,Idiom,0
ዉሻ በቸው የማይቀምሰው,Idiom,0
ሆደ ቅሪት,Idiom,0
በታጠቁ አካላት,Literal ,1
የሽንብራ አፍንጫ,Idiom,0
መንፈሳዊ ዝግጅት,Literal ,1
መንገድ መታው,Idiom,0
ይሄ ሃቅ ነው,Literal ,1
ምን ገደደኝ,Idiom,0
ደንጊያ ተሸከመ,Idiom,0
እንዝርት ቂጥ,Idiom,0
የእንጀራ አባት,Idiom,0
መልካም ስም ከመቃብር በላይ ይውላል,Proverb,2
ሰኔ ነግ በኔ,Idiom,0
አብራችሁን  መስራት የምትፈልጉ,Literal ,1
አይኑን ወረወረ,Idiom,0
መንፈስ ቅዱስ,Literal ,1
የኢትዮጵያ ስፔስ,Literal ,1
ነገረኛ ሰዉ,Literal ,1
ዋስ ሁነኝ አለ,Literal ,1
የምዝገባ ቀን ከዛሬ ጀምሮ,Literal ,1
ቅዳሴ ታጎለ,Idiom,0
ያለ አግባብ,Literal ,1
የትውልድ ዘመነ,Literal ,1
አተርፍ ባይ አጉዳይ,Proverb,2
ዘመዱን ያማ እራሱ ገማ,Proverb,2
በእውነት አልቆመም,Literal ,1
ያለ አንድ የላት ጥርስ በዘነዘና ትነቀስ,Proverb,2
የአይን ምሳ,Idiom,0
ሀገር ኢትዮጵያ,Literal ,1
የማህበራዊ,Literal ,1
አለዳኛ አይከሱ አለጥርስ አይነክሱ,Proverb,2
ዘላለም ሀብተ ሰባራ እንደሆነ ይኖራል,Idiom,0
ነፍሰ ጡር,Idiom,0
ቆራጭ ፈላጭ,Idiom,0
ሃይማኖቱን በነጻነት እንዳያካሂድ,Literal ,1
የማህበረሰብ ተሳትፎን,Literal ,1
ውድድርን ለማሸነፍ ነው,Literal ,1
ይህች ባቄላ ያደረች እንደሆን አትቆረጠምም,Proverb,2
ወንጀል ሰራ,Literal ,1
ማጣትን ለመቀነስ,Literal ,1
ከባለቤት አንደበት,Proverb,2
በሆነ ቀን,Literal ,1
ጥሩምባህን አትንፋ,Idiom,0
የህዝብን ደም መፋሰስ,Literal ,1
ታጋሽ መሆኑ,Literal ,1
ልበ ቆራጥ,Idiom,0
የችግሩ ገፈት ቀማሾች,Literal ,1
ውሀ ጭስ ክፋ ሴት ሰውን ያበራሉ ከቤት,Proverb,2
አለም ተልባ ነው ይንሸራተታል,Proverb,2
እንድትሆኑ,Literal ,1
ኢንፎርሜሽን ቴክኖሎጅ,Literal ,1
ዝርዝር ምስክር,Idiom,0
ዉቃቢ ቀረበው,Idiom,0
ድመት መንኩሳ አመሏን አትረሳ,Proverb,2
ሳይከካ ተቦካ,Proverb,2
አሞት ያለው,Idiom,0
አዲስ ዘመን,Literal ,1
የሀምሌን ውሀ ጥም የህዳርን ራብ የሚያውቅ ያውቀዋል,Proverb,2
ጠንቋይ ለራሱ አያቅም,Proverb,2
አንድ ራሱን,Idiom,0
ትልቅ ጥቃት ለምኖ ማጣት,Proverb,2
የወረት ውሻ ስሟ ወለተኪሮስ,Proverb,2
ጭንቀት,Literal ,1
ጉረኛ አይደለም,Literal ,1
እያንዳንዱ,Literal ,1
ልቤ ረጋ,Idiom,0
ስራ ለሰሪው እሾህ ላጣሪው,Proverb,2
አባይ ሌባ ሻይ,Idiom,0
እሳት የላፈው ነጋዴ ሆኖአል,Idiom,0
ማለዳ ላይ,Literal ,1
አፈር አልባሽ,Idiom,0
እንቅልፍ,Literal ,1
ወሸቱን ሸመጠጠው,Idiom,0
እጅህ ይጡም,Idiom,0
አመተ ምህረት,Literal ,1
ዜና ሙዳይ,Literal ,1
እልፍ ሲሉ እልፍ ይገኛል,Proverb,2
በእምነት ልንጠቀም አንችልም,Literal ,1
ሰጥቼ,Literal ,1
ከራስ ፍልስፍና የመነጨ ነው,Literal ,1
የሚጣፍጥ ምግብ ሲርብ የበሉት ነው,Proverb,2
መስቀለኛ መንገድ,Idiom,0
ነዋሪ ሲሆኑ,Literal ,1
አሰፈላጊ,Literal ,1
ለልጅ አይስቁለትም ለውሻ አይሮጡለትም,Proverb,2
ስጋ ቁጠር ቢሉት ጣፊያ አንድ አለ,Proverb,2
ቂሙን ቀረፈ,Idiom,0
የብዙ ሰዎች ትዳር እንዲህ እንደሆነ አይቻለሁ,Literal ,1
መደንገጥ አያስፈልግም,Literal ,1
ደጋን ወገብ,Idiom,0
አንቃር መታው,Idiom,0
ምዝገባ ጀምረናል,Literal ,1
አፈ ሙዝ,Idiom,0
የሚጠብቀው መሳሪያ,Literal ,1
በፊት የሚናፈሱ,Literal ,1
አለአቡን ቄስ አለዘውድ ንጉስ,Proverb,2
እየተሳሳምን,Literal ,1
አላርፍ ያለች ጣት ስትጠነቁል ትያዛለች,Proverb,2
ሲያደባ,Literal ,1
ስልክ መታ,Idiom,0
ሀረጉን ሲስቡት ዛፉ ይወዛወዛል,Proverb,2
ምን አሸበረን,Literal ,1
አንደበቱ የተለቀመ,Idiom,0
ቤተ ዘመድ,Literal ,1
እቅድ ማዘጋጀት,Literal ,1
ስነ ምግባር,Literal ,1
ምን አባቴ ልሁን,Idiom,0
ሌባ ላመሉ ዳቦ ይልሳል,Proverb,2
ምን ከፋኝ,Idiom,0
ልቤ ደነገጠባት,Idiom,0
ድርድር ለማድረግ ነው,Literal ,1
ቆላ ደጋ ረገጠ,Idiom,0
ቀድሞ የገባ እንግዳ እራቱ ፍሪዳ,Proverb,2
ችኩል አፍ ሞትን ይጠራል,Proverb,2
በባሕር ውስጥ,Literal ,1
አመሳቅሎ ለበሰ,Idiom,0
ጎመን ዘር,Literal ,1
ዳቦ ያለ ቅርፊት ጠላ ያለ ምርጊት,Proverb,2
ዱላ ለባለጌ ምርኩስ ለአሮጌ,Proverb,2
ታረጁ አይበጁ,Proverb,2
በቀጥታ መንገድ,Literal ,1
የዚሁ ፈተና ምዝገባ,Literal ,1
ግጥም ፃፈ,Literal ,1
በግ ከበረረ ሞኝ ካመረረ አይመለስም,Proverb,2
ዘር ከበረከት ትውልድ ከምርቃት,Proverb,2
ዛፎች ቢጠፋ ቁጥቋጦች ዛፎች ነን አሉ,Proverb,2
የቀረበው መግለጫ,Literal ,1
ሃላፊነት,Literal ,1
አዲስ ነገር ነው,Literal ,1
አወቃት,Idiom,0
ልቡ ፈረሰ,Idiom,0
አበጀ በለዉ,Literal ,1
ጤፍ አይቆላ የጭዋ ልጅ አይጠላ,Proverb,2
ለበርካታ ዓመታት,Literal ,1
እግዜር ይፍታ አለ,Idiom,0
ንጹህ እህት,Idiom,0
እንብርት የለሽ,Idiom,0
የማይተማመን ባልንጀራ በየወንዙ ይማማላል,Proverb,2
የቀበጡ እለት ሞት አይገኝም,Proverb,2
ቀንዱ ሰማይ ጠቀስ ጭራው ምድር አበስ,Proverb,2
ለመዋል ሞክሩ,Literal ,1
የትውልድ ቦታ,Literal ,1
ጥናታዊ ጹሁፍ,Literal ,1
አዉራ አዘል,Idiom,0
ቅኔ አትናገር,Idiom,0
የፈሪ ዱላው ረጅም ነው,Proverb,2
አለንጉስ ዘውድ አለ ምሳር ግንድ የለም,Proverb,2
ቆነደደ,Idiom,0
ግባተ መሬት,Idiom,0
አይኑ ሰረቀ,Idiom,0
የሰባ ነገር,Idiom,0
ለጥቂት ጊዚያት,Literal ,1
ለእራስ ያሉት,Literal ,1
አንድ ኢትዮጵያ,Literal ,1
ዋጋ ቆለለ,Idiom,0
ገንዘቧን ጥላው መጣች,Idiom,0
ደማቅ ዝግጅቶች,Literal ,1
ህግ አውጭ,Literal ,1
የፈሪ ዱላ አያዳግምም,Proverb,2
አስረግጠህ ንገረኝ,Idiom,0
ትግስትን ከተሞሉ አይቀር,Literal ,1
እምቅ ሀይል,Literal ,1
አያያዙ አያምርም,Idiom,0
ለአንድ ብርቱ ሁለት መዳኒቱ,Proverb,2
እውር ሲወበራ በትሩን ይጥላል,Proverb,2
ልቡና ይስጥህ,Idiom,0
አዳጋች ነው,Literal ,1
ቀለባት,Idiom,0
በልቡ ያዘ,Idiom,0
በመምህራን,Literal ,1
ውሀ ምን ያገሳ ድሀ ምን ያወሳ,Proverb,2
እራስ ሳይጠና ጉተና,Proverb,2
ደና ሁን,Literal ,1
ባንድ አይቀር,Idiom,0
አሉባልተኛ ሌት ተቀን አይተኛ,Proverb,2
ቤተሰብ እንድታገባ አደረጉ,Literal ,1
ሱቅ በደረቴ,Idiom,0
እርባና ቢስ,Proverb,2
የሶስተኛ ዲግሪ,Literal ,1
አስረሽ ምቺው,Idiom,0
ባደሩ ማግስት,Literal ,1
የጠላቶቻቸዉ ጥፋት,Literal ,1
ውሀ ሲጎድል ተሻገር ዳኛ ሲገኝ ተናገር,Proverb,2
ውጤት,Literal ,1
ብትባል እንጂ,Literal ,1
ለጠቢብ አንድ ቃል ይበቃል,Proverb,2
ነገር ቆሰቆሰ,Idiom,0
የሚወዱትን ሲያጡ የጠሉትን ይቀላውጡ,Proverb,2
ውሃ ለማጠጣት,Literal ,1
መሻፈዶች,Literal ,1
የደንቆሮ ሰርግ በሽብሽባ ያልቃል,Proverb,2
የፍቅር ግንኙነት,Literal ,1
ማን ላይ ቆመሽ እግዜርን ታሚያለሽ,Proverb,2
ነገር ሲያመልጥ ራስ ሲመለጥ,Proverb,2
የጣት ቀለበት,Literal ,1
አጥር ግቢ,Literal ,1
ለእውነት ሞተ,Literal ,1
ለራበው ሰው ቆሎ ለቁልቁለት በቅሎ,Proverb,2
ቁም ስቅል አሳየ,Idiom,0
የቲክቶክ ሊንክህን አስቀምጥ,Literal ,1
ቀኝ እጅ,Idiom,0
አይን ለአይን ተሳበረ,Idiom,0
መልኩ እያለጠለጠ ሄዷል,Idiom,0
እውነት አስተማርሁ,Literal ,1
ልቡን ማረከው,Idiom,0
ለምን ሁለት ምላስ ትሆናለህ,Idiom,0
ዘመን የሰጠው ቅል ድንጋይ ይሰብራል,Proverb,2
ምድር ዋጠው,Idiom,0
አንደበተ ስል,Idiom,0
ታልጠገቡ አይዘሉ ካልዘለሉ አይሰበሩ,Proverb,2
ለስራዉ ማነቃቂያ,Literal ,1
በዚያው ልክ ነው,Literal ,1
ከርሳም,Idiom,0
እጀ ሰፊ,Idiom,0
ምእራፍ ሶስት,Literal ,1
ሞቅ ሞቅ አለ,Idiom,0
ልበ ድንጉጥ,Idiom,0
ጥላ ወጊ,Idiom,0
መንገድ በቀናነት,Literal ,1
ለሽልማት እንደሚያበቃ,Literal ,1
ቃል አባይ,Idiom,0
በእሳት መጫወት,Proverb,2
ባለፈ ክረምት ቤት አይሰራም,Proverb,2
የአባት ልጅ,Literal ,1
ተቃለለ,Idiom,0
ክው አለ,Idiom,0
ምስጢር አየ,Idiom,0
ዶሮ ከጮኸ ሌሊት ከደብረ ታቦር ወዲያ ክረምት የለም,Proverb,2
የቂጥ ማረፊያ,Idiom,0
እንዲወገዱ አዘዘ,Literal ,1
ሀኪም የያዘው ነፍስ ባያድር ይውላል,Proverb,2
ቅርጥ የለሽ,Idiom,0
ደም ተቃባ,Idiom,0
ዘጠኝ ሞት መጣ ቢሉት አንዱን ግባ በለው አለ,Proverb,2
ስምህን ቄሰ ያንሳው,Idiom,0
አገር አለማ,Idiom,0
ክፉ ቀን,Idiom,0
የቅናት ስሜት,Literal ,1
ስለማይፈቅዱላት አዝና ተቀመጠች,Literal ,1
የክፉ ሰው ተዝካር ውሀ ያስወስዳል በህዳር,Proverb,2
ድሀ በህልሙ ቅቤ ባይጠጣ እከክ በፈጀው,Proverb,2
የማትሄድ መበለት ዞራ ዞራ ትሰናበት,Proverb,2
የቀለም አባት,Idiom,0
ለቤት ሳማ ለውጭ ቄጤማ,Proverb,2
ቅሌን ጨርቄን አለ,Idiom,0
ሁነኛ,Idiom,0
ዶሮ ከቆጥ በሬ ከጋጥ,Proverb,2
የፀጥታ ችግር,Literal ,1
በሰው ንብረት አለቀሰ,Idiom,0
መልክ ስጠኝ እንጂ ሙያ ከጎረቤቴ አማራለሁ,Proverb,2
አፌን ደም ደም አለው,Idiom,0
ላይኛው ከንፈር ለክርክር ታችኛው ከንፈር ለምስክር,Proverb,2
ተከንችሮ አደረ,Idiom,0
የወንድ አልጫ,Idiom,0
የስኬት ጫፍ ላይ ተገኝተዋል,Literal ,1
ግራ ገባኝ,Literal ,1
አንዱን ጥላ አንዱን አንጠልጥላ,Proverb,2
ባለዉ ግንኙነት,Literal ,1
ዱባና ቅል አበቃቀሉ ለየቅል,Proverb,2
ውቃጫም,Idiom,0
የወንዶች ባል አይተህ ማር,Proverb,2
ምች አደር,Idiom,0
አገር የሌለው ለጌታ አዳሪ,Proverb,2
ሆዳም,Idiom,0
አየር መንገድ,Literal ,1
ለነገር ተሰለፈ,Idiom,0
ውሀ ቢወቅጡት እንቦጭ,Proverb,2
ነብይ ባገሩ አይከበርም,Proverb,2
ነፍሱን አዋለ,Idiom,0
መሬት ይቅለለው,Idiom,0
ቆቡን ጣለ,Idiom,0
የኤሌክትሪክ መኪና መግዛት ይፈልጋሉ,Literal ,1
ዝም አይነቅዝም,Proverb,2
የሰው ስም ሰበረ,Idiom,0
ቋንቋው አልገባውም,Idiom,0
ምስጋና ይግባው,Idiom,0
አመዴ ወጣ,Idiom,0
ታሞ ከመማቀቅ አስቀድሞ መጠንቀቅ,Proverb,2
ነገር ዘሪ,Idiom,0
የሚሰሩበት ቃላት,Literal ,1
እውነቱን ተናግሮ ካመሹበት ማደር,Proverb,2
በሚስጢራዊው ውይይት,Literal ,1
ልብስ ያረረበት,Idiom,0
ተግባራት,Literal ,1
አባቱ ዳኛ ልጁ ቀማኛ,Proverb,2
ጥምቀት,Literal ,1
ቂል አይሙት እንዲያጫውት,Proverb,2
ቤተ ሰሪ በኋላ ይመጣል,Proverb,2
መምህራን,Literal ,1
ኮሶ አስደነገጠኝ,Idiom,0
ሰው ነህ,Literal ,1
አደጋ ስጋት,Literal ,1
ክሊኒክ ስትመጣ,Literal ,1
አንጀት አርስ,Idiom,0
ራሱ ዞረ,Idiom,0
ራሱን አወቀ,Idiom,0
ኮሶ ያገሳው,Idiom,0
ወጥሽ ሌላ ነው,Idiom,0
አይኑን ተከለ,Idiom,0
ስማን,Literal ,1
በአድሎ ፈፃሚነት ትከሳለህ,Literal ,1
የማን ዘር ጎመን ዘር,Proverb,2
ያፍዝ ያደንግዝ,Idiom,0
ተመሳሳይ,Literal ,1
ተላም የዋለ በሬ ከጋለሞታ የዋለ ገበሬ,Proverb,2
ቁርበት,Idiom,0
ሀይለኛ ውሀ አሻቅቦ ይፈሳል,Proverb,2
ቅመማ ቅመም ይሸጣል,Literal ,1
ፈሊጣዊ ንግግሮች,Literal ,1
አጸደ ነፍስ,Idiom,0
ይበለው,Literal ,1
በመጽሀፍ ላይ,Literal ,1
ፍርሀት ነው,Literal ,1
ራሴን ሲበላኝ እግሬን ቢያኩኝ አይገባኝም,Proverb,2
አላዋቂ ሳሚ ንፍጥ ይለቀልቃል,Proverb,2
ጦር ለወረወረ መሬት ለገበረ,Proverb,2
መሬት ላሰ,Idiom,0
ተጨባጭ ነው,Literal ,1
መጋደል ከወዴት ይመጣሉ,Literal ,1
ራስን ማሻሻል,Literal ,1
ካህናት አበው,Literal ,1
ቅን ልብ ያለህ,Literal ,1
የተከለከለ ነው,Literal ,1
ቀንብቻ ሆድ,Idiom,0
የላጭን ልጅ ቅማል በላት,Proverb,2
ይፈልጉ ነበር,Literal ,1
የወረቀት ላይ ነብር የተግባር ስንኩል,Proverb,2
አይን አዋጅ,Idiom,0
ማእድ ጠፋና አንድ ላይ በላን,Proverb,2
ጥርሱን ነከሰ,Idiom,0
ድል ነሳ,Idiom,0
መኖሪያ ከመሆኗ አንፃር,Literal ,1
የነቃ የበቃ,Idiom,0
በሽታ ለከፈው,Idiom,0
እኔ ለምንድነው,Literal ,1
ኮከባቸው ገጠመ,Idiom,0
አምባ አድምቅ,Idiom,0
አደዋ,Literal ,1
ሚስጢር መያዝ አይችልም,Literal ,1
ሰርገኛ መጣ በርበሬ ቀንጥሱ,Proverb,2
አመሉ አልሰከነም,Idiom,0
የራሷ አሮባት የሰው ታማስላለች,Proverb,2
ሞት ይርሳኝ,Idiom,0
ፈተና ማዕከል,Literal ,1
ብዙ ገንዘብ,Literal ,1
ቀላጅ የሰይጣን ወዳጅ,Proverb,2
ነገር ግን,Literal ,1
ብቻውን የበላ ብቻውን ይሞታል,Proverb,2
የልጅ ፍቅር የሴት ከንፈር አናትን አያስቀብር,Proverb,2
እንዴት ተረሱ,Literal ,1
መልክ አወጣች,Idiom,0
በረገድ በረገዱ,Idiom,0
ሳትይዙ እንዳትወጡ,Literal ,1
ማበርከት,Literal ,1
ሬሳ ሆነ,Idiom,0
ፈፅሞ አለመግባባት,Literal ,1
ንቃይ,Idiom,0
አህያ ከአመዱ,Idiom,0
ኮከብ ቆጠረ,Idiom,0
አጥንቴ እሾህ ሆኖ ይውጋህ,Idiom,0
ለሆነ ነገር,Idiom,0
በሆነ ባልሆነ,Idiom,0
የመቅደሳችን ስፍራ,Literal ,1
ፊቱን አጠቆረ,Idiom,0
ጥቂት ዝምታ,Literal ,1
ሃሳብ እንዲያዋጡ እናድርግ,Literal ,1
ማረም ፈጽሞ የማይቻል,Literal ,1
ልመጣ ነኝ,Literal ,1
አንገተ ደንዳና,Idiom,0
በአሁኑ ወቅት,Literal ,1
ሙቀጫ ሰገጠ,Idiom,0
ግዛኝ ግዛኝ ብለው ሊሺጠኝ አሰበኝ,Idiom,0
ብር ሸሸ,Idiom,0
ከሁሉ ልብ ይበርድ ከሁሉ ልብ ይነድ,Proverb,2
ለጋ ጎበዝ ልጅ አድርሻለሁ,Idiom,0
ስለማናውቅ ነው,Literal ,1
ወረ ግቡ,Idiom,0
ከብት መጠበቅ ከባድ ነው,Literal ,1
ሥራ ለሰሪው እሾህ ላጣሪው,Proverb,2
የምኞት ፈረስ ልጓም አይገታውም,Proverb,2
በአንድ ራስ ሁለት ምላስ,Proverb,2
በግዳጅ ላይ ነው,Idiom,0
የለመደች ጦጣ ሁልጊዜ ሽምጠጣ,Proverb,2
ችክ ምንችክ አለ,Idiom,0
ግድ የለኝም,Literal ,1
ቁራሽ የናቀ ጦሙን ያድራል,Proverb,2
ያንሳህ,Idiom,0
አልጫ ፍቅር,Idiom,0
ምግበ ስጋ,Idiom,0
የሚጠብቅህ,Literal ,1
የሰውን ልክ,Idiom,0
የአካባቢ ትውስታ,Literal ,1
ልብ አድርግልኝ,Idiom,0
የልቡን ሲነግሩት የኮረኮሩትን ያህል ይስቃል,Proverb,2
እናት አይምሬ,Idiom,0
ብትሰማ ይሻላል,Idiom,0
ታስቦ ዋለ,Idiom,0
ከደመወዛችሁ የሚቆረጥበትን,Literal ,1
ጅማ አባጅፋር,Literal ,1
ታጉል ጉልበት እዩልኝ ስሙልኝ ማለት,Proverb,2
በራሴ ጊዜ,Literal ,1
ካለ ፈጣሪ አሟጠሽ ጋግሪ,Proverb,2
አይን አፋር,Literal ,1
ስጋ ሆነ,Idiom,0
የሆዴን ነግሬው ነበር,Idiom,0
አዳዲስ ነገሮች,Literal ,1
ያዳቆነ ሰይጣን ሳያቀስ አይለቅም,Proverb,2
ሸማና ምስጥ ወደ ውስጥ,Proverb,2
የወር ገቢ,Literal ,1
አሞቱ ዳውላ አከለ,Idiom,0
ቀልበ ቢስ,Idiom,0
የማያጠግብ እንጀራ ከምጣዱ ያስታውቃል,Proverb,2
የዓለማችን ቀዳሚ ባለጸጎች,Literal ,1
የህዝብ አለም,Literal ,1
ሰውነቱ ተለወጠ,Idiom,0
እንቅልፍ እድሜ,Literal ,1
ህገ መንግስት ይከበር,Literal ,1
