Sentence,label
ሆኖም አያውቅ,Idiom
ሆደ መጋዝ,Idiom
ሆደ ማጭድ,Idiom
ሆደ ሰፊ,Idiom
ሆደ ቅሪት,Idiom
ሆደ ቡቡ,Idiom
ሆደ ባሻ,Idiom
ሆደ ባሻነቱ አሁንም አለቀቀውም,Idiom
ሆደ ገር,Idiom
ሆዱ ሻከረ,Idiom
ሆዱ ሻከረ,Idiom
ሆዱ ቃረ,Idiom
ሆዱ ቆረጠ,Idiom
ሆዱ ባሰበት,Idiom
ሆዱ ተቆለፈ,Idiom
ሆዱ አይበልጠውም,Idiom
ሆዱ ደረቀ,Idiom
ሆዱ ጎሸ,Idiom
ሆዱን ሰጠ,Idiom
ሆዱን ቆለፈ,Idiom
ሆዱን ቆረጠው,Idiom
ሆዱን አለበው,Idiom
ሆዱን ጣለ,Idiom
ሆዳም,Idiom
ሆዴ,Idiom
ሆዴ በልጦኝ አያውቅም,Idiom
ሆዴ ተቋጠረ,Idiom
ሆዴ እባክህ ብላልኝ,Idiom
ሆዴን ጋጠኝ,Idiom
ሆድ ሆዴን ,Idiom
ሆድ ሆዴን በላኝ,Idiom
ሆድ ሆዴን አለኝ,Idiom
ሆድ ለሆድ,Idiom
ሆድ ለሆድ ተገናኝተዋል,Idiom
ሆድ ሰጠ,Idiom
ሆድ ሲያውቅ ዶሮ ማታ,Idiom
ሆድ እቃ,Idiom
ሆድ እና ጀርባ,Idiom
ሆድ ይፍጀው አለ,Idiom
ኋላ ኋላ አለ,Idiom
ለሆነ ነገር ,Idiom
ለልጁ ሳሳ,Idiom
ለመናት,Idiom
ለመከራ ሰጠ,Idiom
ለምኔ,Idiom
ለምን ሁለት ምላስ ትሆናለህ,Idiom
ለሰሚ ግራ ነገር,Idiom
ለራስ ያሉት,Idiom
ለርሱ ከመንገር ደንጊያን ቅቤ መቀባት,Idiom
ለቀለቀኝ,Idiom
ለቅሶ መቀመጥ,Idiom
ለብ አለው,Idiom
ለብሰሽ ፍጅው,Idiom
ለነገር ተሰለፈ,Idiom
ለነፍሱ ሲል,Idiom
ለኔ አንተ ዝምብ ነህ,Idiom
ለአህያ ማር አይጥማትም,Idiom
ለአህያ ማር አይጥማትም,Idiom
ለአለቃ ይሾራል,Idiom
ለአቅመ ሄዋን ደረሰች,Idiom
ለአይን ሞላ,Idiom
ለአይን የሚከብድ ሰው,Idiom
ለአይን ያዘ,Idiom
ለአፍ የሚከብድ ነገር,Idiom
ለእንጀራው ሲል,Idiom
ለከት የሌለው ,Idiom
ለክፉ ተናገረ,Idiom
ለወሰኑ ሟች,Idiom
ለወሬ ብሎ,Idiom
ለወቀሳ ያብቃህ,Idiom
ለወገቡ ዝናር የለውም,Idiom
ለው ለው አትበል,Idiom
ለዛ ሙጥጤ,Idiom
ለዛ ቢስ,Idiom
ለይምሰል ስራ,Idiom
ለይስሙላ,Idiom
ለጆሮ የሚከብድ ነገር,Idiom
ለጋ ቅቤ,Idiom
ለጋ ደመና,Idiom
ለጋ ጎበዝ ልጅ አድርሻለሁ,Idiom
ለፍቶ መና,Idiom
ሊጋልበኝ ይፈልጋል,Idiom
ሊጡ መጠጠ,Idiom
ላሚቷ ተጠቃች,Idiom
ላስ አደረገው,Idiom
ላቡን አፈሰሰ,Idiom
ላባ ቀረሽ,Idiom
ላባ ቀረሽ ,Idiom
ላብ ላብ አለው,Idiom
ላንተ የዘነበ ለኔም ያካፋል,Idiom
ላክ አደረገ,Idiom
ላይ ላዩን ሄደ,Idiom
ላይ ታች አለ,Idiom
ላይኞች,Idiom
ላዳር ሄደች,Idiom
ላጤ መላጤ,Idiom
ላፍ ወሰን የለውም,Idiom
ሌባ ሚዛን,Idiom
ሌባ ሚዛን ,Idiom
ሌባ ሻይ,Idiom
ሌባ ውጋት,Idiom
ሌባ ዝናብ,Idiom
ሌባ ዝናብ,Idiom
ልሳነ እሳት,Idiom
ልሳኑ ተዘጋ,Idiom
ልቅ ወጣች,Idiom
ልቅም ያለች,Idiom
ልቅም ያለች,Idiom
ልበ ልል,Idiom
ልበ ልል መሆን አያዋጣም,Idiom
ልበ ሙሉ,Idiom
ልበ ሙሉነት አያስደፍርም,Idiom
ልበ ሙት,Idiom
ልበ ሞቃት,Idiom
ልበ ሰፊ,Idiom
ልበ ቀላል ,Idiom
ልበ ቅን,Idiom
ልበ ቆራጥ,Idiom
ልበ ቢስ,Idiom
ልበ ባህር,Idiom
ልበ ብር,Idiom
ልበ ተራራ,Idiom
ልበ ደንዳና,Idiom
ልበ ደንዳና,Idiom
ልበ ደንጊያ,Idiom
ልበ ድንጉጥ,Idiom
ልበ ድንጋይ,Idiom
ልበ ድፍን,Idiom
ልበ ገር,Idiom
ልበ ጎረምሳ,Idiom
ልበ ጎደሎ,Idiom
ልበ ጠናና,Idiom
ልበ ጡል,Idiom
ልበ ጡል,Idiom
ልበ ጥልቅ ,Idiom
ልበ ጥኑ,Idiom
ልበ ጥኑ,Idiom
ልበ ፈሪ,Idiom
ልቡ ሞተ,Idiom
ልቡ ሞቷል,Idiom
ልቡ ሰባ,Idiom
ልቡ ሰባ ,Idiom
ልቡ ሳሳ,Idiom
ልቡ ራሰ,Idiom
ልቡ ራሰ,Idiom
ልቡ ሸፈተ,Idiom
ልቡ ቀረ,Idiom
ልቡ ቀረ,Idiom
ልቡ ቀና,Idiom
ልቡ ቀዘቀዘ,Idiom
ልቡ ቆመ,Idiom
ልቡ ቆመ,Idiom
ልቡ ቆሰለ,Idiom
ልቡ ቆሰለ,Idiom
ልቡ ቆረጠ,Idiom
ልቡ ቋመጠ,Idiom
ልቡ በደስታ ሰከረ,Idiom
ልቡ ባከነ,Idiom
ልቡ ተሰነጠቀ,Idiom
ልቡ ተረጋጋ,Idiom
ልቡ ተሸበረ,Idiom
ልቡ ተቀሰቀሰ,Idiom
ልቡ ተቃጠለ,Idiom
ልቡ ተነሳ,Idiom
ልቡ ተደባለቀ,Idiom
ልቡ ታወረ,Idiom
ልቡ ታወከ,Idiom
ልቡ አላረፈም,Idiom
ልቡ አልሰከነም,Idiom
ልቡ አረረ,Idiom
ልቡ አረፈ,Idiom
ልቡ አበጠ,Idiom
ልቡ አብጧል,Idiom
ልቡ አደገ,Idiom
ልቡ ከዳው,Idiom
ልቡ ከዳው,Idiom
ልቡ ወለል አለ,Idiom
ልቡ ወላወለ,Idiom
ልቡ ወልቋል,Idiom
ልቡ ወደደ,Idiom
ልቡ ዋለለ,Idiom
ልቡ ደረቀ,Idiom
ልቡ ደጅ ደጅ ብሏል,Idiom
ልቡ ደፍርሷል,Idiom
ልቡ ገባ ,Idiom
ልቡ ጠፋ,Idiom
ልቡ ፈረሰ,Idiom
ልቡ ፈረሰ,Idiom
ልቡና ይስጥህ,Idiom
ልቡን መታው,Idiom
ልቡን ማረከው,Idiom
ልቡን ሰለበው,Idiom
ልቡን ሰረቀው,Idiom
ልቡን ሰበረው,Idiom
ልቡን ሰወረው,Idiom
ልቡን ሰጠው,Idiom
ልቡን ሸነጠው,Idiom
ልቡን ቆረቆረው,Idiom
ልቡን በላው,Idiom
ልቡን ነሳው,Idiom
ልቡን አመገለው,Idiom
ልቡን አወለቀ,Idiom
ልቡን ከዳው,Idiom
ልቡን ከፈተለት,Idiom
ልቡን ወሰደው,Idiom
ልባም ,Idiom
ልባቸው ተራርቋል,Idiom
ልቤ ረጋ,Idiom
ልቤ ተሰቀለ,Idiom
ልቤ አለቀ,Idiom
ልቤ ወደቀባት,Idiom
ልቤ ወደቀባት,Idiom
ልቤ ደነገጠባት,Idiom
ልቤ ደነገጠብኝ,Idiom
ልቤ ፈራብኝ,Idiom
ልቤን አልነካኝም,Idiom
ልቤን አታውልቀኝ,Idiom
ልቤን አደማው,Idiom
ልብ ቀረው,Idiom
ልብ ነሳ,Idiom
ልብ አለ,Idiom
ልብ አሳጣ,Idiom
ልብ አቁስል,Idiom
ልብ አቁስል,Idiom
ልብ አብርድ,Idiom
ልብ አብሽቅ,Idiom
ልብ አክስል,Idiom
ልብ አውልቅ,Idiom
ልብ አድርቅ,Idiom
ልብ አድርግልኝ,Idiom
ልብ አጣ,Idiom
ልብ አፍርስ,Idiom
ልብ ከዳ,Idiom
ልብ ወለድ,Idiom
ልብ ወረደው,Idiom
ልብ ወረድኝ,Idiom
ልብ የለሽ,Idiom
ልብ የማይገባ,Idiom
ልብሰ ተማሪ,Idiom
ልብሱ ተቀበለው,Idiom
ልብሱን ለወጠ,Idiom
ልብስ አስቀደደ,Idiom
ልብስ ያረረበት,Idiom
ልብስ ገፋፊ,Idiom
ልብስህን ሰብስብ,Idiom
ልብሷን ቀደደች,Idiom
ልቧን ጥላበታለች,Idiom
ልክፍታም ,Idiom
ልጁ ቀለጠ,Idiom
ልጁን ተቆታው,Idiom
ልጃገረድ,Idiom
ልጅ እግር,Idiom
ልጅ ከአባቱ ጉልበት ይከፈላል,Idiom
ልጅህ እንደእናቷ ሆነች,Idiom
ልጉም አፍ,Idiom
ልጓም አጥባቂ,Idiom
ልጓም ጣሰ,Idiom
ልጦ ጎርዶ አወጣ,Idiom
ሎጥ ሎጥ አለ,Idiom
መሀል ሰፋሪ,Idiom
መለመኛ አጣ,Idiom
መለስ ቀለስ,Idiom
መለስ ቀለስ አለ,Idiom
መላ መታ,Idiom
መላ ቅጡ,Idiom
መላ ቢስ,Idiom
መላላስ,Idiom
መልከ መልካም,Idiom
መልከ ጥፉ,Idiom
መልኩ እያለጠለጠ ሄዷል,Idiom
መልክ አወጣች,Idiom
መማለጃ በላ,Idiom
መሟጠጫ,Idiom
መሰናዘሪያ ቦታ,Idiom
መሰንቆ መታ,Idiom
መስቀለኛ መንገድ,Idiom
መስቀለኛ ጥያቄ,Idiom
መስቀል ተሰላጢን,Idiom
መስከረም ሲብት,Idiom
መስከረም ሲጠባ,Idiom
መስገርት,Idiom
መረብ ጣለ,Idiom
መረን ወጣ,Idiom
መራውን ወጣ,Idiom
መሬቱ ቀና,Idiom
መሬቱ ተርቧል,Idiom
መሬቱ ታርዷል,Idiom
መሬቱ ጦም አደረ,Idiom
መሬት ላሰ,Idiom
መሬት ሰነጋ,Idiom
መሬት ቁና ሆነ,Idiom
መሬት አሟሸ,Idiom
መሬት አሳመው,Idiom
መሬት አስላሰ,Idiom
መሬት ይቅለለው,Idiom
መሬት ይቅለለው,Idiom
መሮ ጥርስ,Idiom
መሸጦ,Idiom
መቀስ አፍ,Idiom
መቀነትሽን አጥብቂ,Idiom
መቀነቷ ተፍቷል,Idiom
መታያ,Idiom
መታፈር በከንፈር,Idiom
መቼ አጣሁት,Idiom
መቼ ጠፋኝ,Idiom
መቼም መች,Idiom
መና ቀረ ,Idiom
መናገር ቃጣኝ,Idiom
መንታ ልብ,Idiom
መንገዱ አያስሄድም,Idiom
መንገድ መታው,Idiom
መንገድ አይምታህ,Idiom
መንገድህን ጨርቅ ያድርግልህ,Idiom
መንግጎ ወሰደ,Idiom
መከራ ስጋ,Idiom
መከራ ሸመተ,Idiom
መከራ ቀመሰ,Idiom
መከራ ተቀበለ,Idiom
መከራ አሳየ,Idiom
መከራውን በላ,Idiom
መከተ ,Idiom
መኸሩ ሳተ,Idiom
መኸር አልሰጠም,Idiom
መዘርከት ያበዛል,Idiom
መዳራት ጀመረ,Idiom
መድሀኒቱ ረከሰ,Idiom
መገዘዝ ፊት,Idiom
መግል ሰራ,Idiom
መጣፍ አዋቂ,Idiom
መጥኔው ይስጥሽ,Idiom
መጭ አለ,Idiom
ሙሉ ልጃገረድ,Idiom
ሙሉ ሰው,Idiom
ሙሉ አካል,Idiom
ሙልጭ አለ,Idiom
ሙልጭ አድርጎ ሰደብ,Idiom
ሙሬ አፍ,Idiom
ሙሬ አፍ,Idiom
ሙርጥ አወጣ,Idiom
ሙቀጫ ሰገጠ,Idiom
ሙቀጫ እግር,Idiom
ሙት ለሙት ያለቅሳል,Idiom
ሙት አማጣኝ,Idiom
ሙት ወቃሽ,Idiom
ሙት ደረቅ አይበላም,Idiom
ሙዝ አፍ,Idiom
ሙጢ አፍ,Idiom
ሙጢ አፍ,Idiom
ሚስቱን ለቀቀ,Idiom
ማህተመ ድንግልና,Idiom
ማላ አፈረሰ,Idiom
ማልዶ ማልዶ,Idiom
ማማሳያ  እግር,Idiom
ማስመለስ,Idiom
ማስወረድ,Idiom
ማረፊያ የለውም,Idiom
ማርም አልልስ,Idiom
ማርም አይልስ,Idiom
ማቄን ጨርቄን አለ,Idiom
ማተበ ቢስ,Idiom
ማተብ አሰረ,Idiom
ማተብ የለሽ,Idiom
ማን ዘራሽ,Idiom
ማንቆርቆሪያ አፍንጫ,Idiom
ማእዱን አማገጠ,Idiom
ማድ ረጋጭ,Idiom
ማዶ ማዶ ,Idiom
ማጠፊያው አጠረው,Idiom
ማጠፊያው አጠረው,Idiom
ማጭድ እግር,Idiom
ምላሱን አሾለ,Idiom
ምላሱን አሾለ,Idiom
ምላሱን አዳጠው,Idiom
ምላሱን ጎለጎለ,Idiom
ምላስ አወጣ,Idiom
ምላስክን ሰብስብ,Idiom
ምላሽ ጠራ,Idiom
ምሳ አደረገ,Idiom
ምስል ቢስ,Idiom
ምስል አፍሳሽ,Idiom
ምስጋና ቢስ,Idiom
ምስጋና ይንሳው,Idiom
ምስጋና ይግባው,Idiom
ምስጢሩን ዘረገፈልኝ,Idiom
ምስጢር ቀበረ,Idiom
ምስጢር አወጣ,Idiom
ምስጢር አየ,Idiom
ምስጢር አፈሳ ሆነ,Idiom
ምራቁን ዋጠ,Idiom
ምርር አለ,Idiom
ምርቅና ፍትፍት,Idiom
ምርዝ አደረገ,Idiom
ምርጊት ፊት,Idiom
ምርግ,Idiom
ምች መታው,Idiom
ምች አደር,Idiom
ምኑ ቅጡ,Idiom
ምኑና ምኑ ተይዞ,Idiom
ምናምንቴ,Idiom
ምን ቆረጠኝ,Idiom
ምን ቆርጦት,Idiom
ምን ቆርጦኝ,Idiom
ምን ብየ,Idiom
ምን ተዳዪ,Idiom
ምን አለብኝ,Idiom
ምን አባቱ,Idiom
ምን አባቴ ልሁን,Idiom
ምን አግዶኝ,Idiom
ምን እዳዬ,Idiom
ምን ከፋኝ,Idiom
ምን ከፋኝ,Idiom
ምን ያምር,Idiom
ምን ይበጀኝ,Idiom
ምን ገደደኝ,Idiom
ምንህ ነው,Idiom
ምንም ጠብ አይለውም,Idiom
ምንኛ ጠግበሀል,Idiom
ምንጭሩ ድብን አለ,Idiom
ምንጭር ቆራጭ,Idiom
ምክሩ አጥንት ይሰብራል,Idiom
ምድር ለቀቀ,Idiom
ምድር መሸበት,Idiom
ምድር መታች,Idiom
ምድር ቀለጠ,Idiom
ምድር ተፋችው,Idiom
ምድር አስጋጠ,Idiom
ምድር እና ሰማይ ዞረበት,Idiom
ምድር ዋጠው,Idiom
ምድር ዞረበተ,Idiom
ምድር ያዘ,Idiom
ምድር ደህና ዋይ አለ,Idiom
ምድር ፊት,Idiom
ምግበ ስጋ,Idiom
ምግበ ነፍስ,Idiom
ምግቡን ውሻ ለከፈው,Idiom
ምጣዱ ሰማ,Idiom
ምጥ መጣ,Idiom
ሞላጫ ሌባ,Idiom
ሞልጮኝ ሄደ,Idiom
ሞቅ ሞቅ አለ,Idiom
ሞቅ አለው,Idiom
ሞቴን ሞት ወሰደው,Idiom
ሞት ሞት ሸተተው,Idiom
ሞት ቀነጠሰው,Idiom
ሞት ነጠቀው,Idiom
ሞት ይርሳኝ,Idiom
ሞት ጠራው,Idiom
ሞትና ፍጥረት አንድ ቀን ነው,Idiom
ሞኝ ከአራጁ ይውላል,Idiom
ሞኝ ያገኘው ፈሊጥ,Idiom
ሞገስ አገኘ,Idiom
ሰልፍ አበላሽ,Idiom
ሰልፍህን አሳምር,Idiom
ሰመር ያዘ,Idiom
ሰመር ገጠመ,Idiom
ሰማንያዋ ወረደ,Idiom
ሰማኛ ከነዳ,Idiom
ሰማዩ ተደፋበት,Idiom
ሰማዩ ተደፋብኝ,Idiom
ሰማዩ ከበደ,Idiom
ሰማይ ለሰማይ,Idiom
ሰማይ ቆጡ,Idiom
ሰማይ ነካ,Idiom
ሰማይ ዳሴ,Idiom
ሰማይ ጠቀስ,Idiom
ሰም ለበስ,Idiom
ሰምና ወርቅ,Idiom
ሰምና ወርቅ,Idiom
ሰምና ፈትል,Idiom
ሰረገላ ቁልፍ,Idiom
ሰረገላ ዉግ,Idiom
ሰረገላ ገባ,Idiom
ሰርቶ አፍራሽ,Idiom
ሰርገኛ መጣ በርበሬ ቀንጥሱ,Idiom
ሰርግ እና ምላሽ,Idiom
ሰርግና ምላሽ,Idiom
ሰቀላ ቤት,Idiom
ሰባራ ስንጥር,Idiom
ሰብሉን ጸሀይ አበላሸው,Idiom
ሰብቷል,Idiom
ሰነፍ መረቅ,Idiom
ሰነፍ ምርት,Idiom
ሰነፍ ቆሎ,Idiom
ሰነፍ እርቅ,Idiom
ሰኔ ነግ በኔ,Idiom
ሰኔና ሰኞ,Idiom
ሰንካላ,Idiom
ሰንኮፍ አልወጣም,Idiom
ሰንጣቃ እንጨት,Idiom
ሰአቱ ሞላ,Idiom
ሰው ሆነ,Idiom
ሰው ሆነ,Idiom
ሰው ለየ,Idiom
ሰው መሆን አይቀርም,Idiom
ሰው መዘርጠጥ ይወዳል,Idiom
ሰው መጋት ይወዳል,Idiom
ሰው በመሰል ይሞታል,Idiom
ሰው አትግፋ,Idiom
ሰው አየ,Idiom
ሰው አደረገው,Idiom
ሰው እንዳይሆን የለም,Idiom
ሰው እንዳይሆን የለም ,Idiom
ሰው ያወቀው ጸሀይ የሞቀው,Idiom
ሰውነተ ቢስ,Idiom
ሰውነቱ ተለወጠ,Idiom
ሰውነቱ ተረታ,Idiom
ሰውነቱ እሳት ሆኖአል,Idiom
ሰውነቱ ከዳው,Idiom
ሰውነቱን ሸመቀቀው,Idiom
ሰውነቴ ረገፈ,Idiom
ሰውነቴ ተሟገተብኝ,Idiom
ሰውነቴን ነዘረኝ,Idiom
ሰውነቴን ወረረኝ,Idiom
ሰውየው ሳተ,Idiom
ሰይጣናም,Idiom
ሰይጣኔ መጣ,Idiom
ሰይጣን አትሁንብኝ,Idiom
ሰይጣን ይዞታል,Idiom
ሰይጣን ደፋር,Idiom
ሰይጣን ጋለበው,Idiom
ሰዶ ማሳደድ,Idiom
ሰጥ ለጥ ብሎ ተገዛ,Idiom
ሱሪ በራስ አውልቅ,Idiom
ሱሪ በአንገት ማውለቅ,Idiom
ሱሪ ቢጣልባት የምታረግዝ,Idiom
ሱሪ ቢጥሉባት ትወልዳለች,Idiom
ሱሪ አለበስኩም,Idiom
ሱሪዬ በራሴ ወልቋል,Idiom
ሱቅ በደረቴ,Idiom
ሱቅ በደረቴ,Idiom
ሲሆን,Idiom
ሲስሟት ቀርቶ ሲስቧት,Idiom
ሲሮጡ ያሰሩት,Idiom
ሲበሉ የላኩት,Idiom
ሲያቀና ዋለ,Idiom
ሲያየኝ ሰውነቱ ፍርስ አለ,Idiom
ሲያዩት የሚያስደነግጥ ሰው ነው,Idiom
ሲጥ አደረገው,Idiom
ሲፈራ ሲቸር,Idiom
ሲፈራ ሲቸር ነው,Idiom
ሲፈጥራት ነው የዋለው,Idiom
ሳለ አይሰጥ,Idiom
ሳምልኝ,Idiom
ሳረ በል,Idiom
ሳር ቅጠሉ ሁሉ,Idiom
ሳር እግር,Idiom
ሳብ ረገብ,Idiom
ሳብ ረገብ አደረገ,Idiom
ሳት አደረገ,Idiom
ሳይሆን,Idiom
ሳይሳካ ቀረ,Idiom
ሳይደግስ አይጣላም,Idiom
ሴራ ሆነ,Idiom
ሴራ ቆረጠ,Idiom
ሴተ ላጤ,Idiom
ሴቴ መሬት,Idiom
ሴት አስረካሽ,Idiom
ሴት አውል,Idiom
ሴት አውል,Idiom
ሴትዬዋን ደፋት,Idiom
ስለነፍስ,Idiom
ስልክ መታ,Idiom
ስልጡን አፍ,Idiom
ስልጣኑ ተያዘ,Idiom
ስመ ጥር,Idiom
ስመኛ,Idiom
ስሙን መነዘረው,Idiom
ስሙን ተከለ,Idiom
ስማ በለው,Idiom
ስሜቱ ቀዘቀዘ,Idiom
ስም አነሳ,Idiom
ስም አይጠሩ,Idiom
ስም አጠፋ,Idiom
ስም እንዳለው,Idiom
ስም የለሽ,Idiom
ስምህን ቄሰ ያንሳው,Idiom
ስምህን ቄስ ይጥራው,Idiom
ስምህን ቄስ ይጥራው,Idiom
ስረ ነገር,Idiom
ስራ ሰሪውን,Idiom
ስራ ቤት,Idiom
ስራ ያዘ,Idiom
ስራ ፈታ,Idiom
ስራህ ብዙ,Idiom
ስራም አይዝ,Idiom
ስራተ ቢስ,Idiom
ስራው ግራ ግራውን ነው,Idiom
ስራውን ሳትጀምረው ሀሞትህ ይፈሳል,Idiom
ስር ሰደደ,Idiom
ስር ስሩን ,Idiom
ስር ተቆጣ,Idiom
ስር ነቀል,Idiom
ስር ነቀል,Idiom
ስር ነቃይ,Idiom
ስር የለሽ,Idiom
ስር ያዘ,Idiom
ስር ጠምዛዥ,Idiom
ስርቅ ያለ,Idiom
ስርቆሽ በር,Idiom
ስበትን ረገጠ,Idiom
ስብስብ እመቤት,Idiom
ስብስብ ጨዋ,Idiom
ስትፈርጥ ስትነሳ ዋለች,Idiom
ስናነሳህ,Idiom
ስንክሳሩ በዛ,Idiom
ስንኳን,Idiom
ስንዝሮ,Idiom
ስድ,Idiom
ስድ ቤት,Idiom
ስድ አደግ,Idiom
ስድ አደግ,Idiom
ስጋ ሆነ ,Idiom
ስጋ ለስጋ,Idiom
ስጋ ወደሙ,Idiom
ስጋ ያዘኝ,Idiom
ስጋማ,Idiom
ስጋዊ,Idiom
ስጋው መጠጠ,Idiom
ስጋው ጠፍር ሆኗል,Idiom
ስጋየ,Idiom
ስጥ አፍ,Idiom
ረሳ,Idiom
ረቂቅ ወንበዴ,Idiom
ረባ,Idiom
ረዳኤታም ሴት ,Idiom
ረዳኤታም እህል,Idiom
ረገብ አደረገ,Idiom
ረገጠ,Idiom
ረገፈ,Idiom
ረጠበ,Idiom
ሩቅ አገር,Idiom
ራሰ ከባድ,Idiom
ራሰ ክፍት,Idiom
ራሰ ዘናና,Idiom
ራሱ ዞረ,Idiom
ራሱ ጠና,Idiom
ራሱን ሰወረ,Idiom
ራሱን ሳመ,Idiom
ራሱን ሳተ,Idiom
ራሱን ቀበረ,Idiom
ራሱን ቻለ,Idiom
ራሱን ቻለ,Idiom
ራሱን ነቀነቀ,Idiom
ራሱን አወቀ,Idiom
ራሱን አወጣ,Idiom
ራሱን አዋረደ,Idiom
ራሱን አዞረው,Idiom
ራሱን ጣለ,Idiom
ራስ ላይ ወጣ,Idiom
ራስ ምታት,Idiom
ራስ ምታት,Idiom
ራስ ሳይጠና,Idiom
ራስ ስሞሽ,Idiom
ራስ ራሱን,Idiom
ራስ በራስ,Idiom
ራስ ተስሞ,Idiom
ራስ የለውም,Idiom
ራቤ,Idiom
ሬሳ ሆነ,Idiom
ርባ ስባ,Idiom
ርባና ቢስ,Idiom
ርእሀብ ሞረደው,Idiom
ርካሽ,Idiom
ርጋ,Idiom
ርጋጭ ርጋጭ ይላል,Idiom
ርግጡን ንገረው,Idiom
ርጥብ አማኝ,Idiom
ሮሮ አይመረውም,Idiom
ሸለተ,Idiom
ሸማ ለባሽ,Idiom
ሸማ በየፈርጁ ይለበሳል,Idiom
ሸርካታ,Idiom
ሸቀጡ አመለጠው,Idiom
ሸብሸብ አደረገ,Idiom
ሸተት አለ,Idiom
ሸናበት,Idiom
ሸኘው,Idiom
ሸክሜ ወረደልኝ,Idiom
ሸክም ሆነ,Idiom
ሸጓጣ,Idiom
ሹል ቂጥ,Idiom
ሹል አፍ,Idiom
ሹመት አይደንግጥ,Idiom
ሹመት ያዳብር,Idiom
ሹም ሽር,Idiom
ሹርባዋን ለቃ ሆናለች ፈሰሴ,Idiom
ሽርሞ ለሽርሞ,Idiom
ሽቢያ ጋለበ,Idiom
ሽንተ መልካም,Idiom
ሽንታም,Idiom
ሽንት,Idiom
ሾለከ,Idiom
ሾላ በድፍኑ,Idiom
ሾላ በድፍን,Idiom
ሾላካ,Idiom
ሿ አለ,Idiom
ሿ አለው,Idiom
ሿ አደረገ,Idiom
ቀለል ያለ,Idiom
ቀለም አገባ,Idiom
ቀለም ገባው,Idiom
ቀለባት,Idiom
ቀላል ሰው ነው,Idiom
ቀላድ ጣለ,Idiom
ቀልበ ቢስ,Idiom
ቀልበ ደረቅ,Idiom
ቀልበ ጮሬ,Idiom
ቀልቡ ወደደው,Idiom
ቀልቡን አሳጣሁት,Idiom
ቀልብ ገዛ,Idiom
ቀረቀበ ,Idiom
ቀሪቦ,Idiom
ቀርበታ ሆድ,Idiom
ቀርቶ ላይቀር,Idiom
ቀባ,Idiom
ቀብሮ አቆየ,Idiom
ቀትረ ቀላል,Idiom
ቀትረ ቀላል,Idiom
ቀነ ቀጠሮ,Idiom
ቀኔ ነው,Idiom
ቀን ሲያዘነብል,Idiom
ቀን በቀን,Idiom
ቀን አይቶ ከዳው,Idiom
ቀን ወጣ,Idiom
ቀን ጎደለበት,Idiom
ቀን ጣለው,Idiom
ቀንበር ሰበረ,Idiom
ቀንበር ጫነ,Idiom
ቀንብቻ ሆድ,Idiom
ቀንደኛ,Idiom
ቀንዱን ተመታ,Idiom
ቀንዱን አሳየ,Idiom
ቀንድ አወጣ,Idiom
ቀኝ ቀኙን ያስመልክትህ,Idiom
ቀኝ እጅ,Idiom
ቀደም ሲል,Idiom
ቀደሰ,Idiom
ቀዳዳ,Idiom
ቀጠፈ,Idiom
ቀጥቃጣ,Idiom
ቀጥኜ ቢያዩኝ ጅማት ለመኑኝ,Idiom
ቀጭን እመቤት,Idiom
